code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
6	4	48.62862	 -3.53029	Lanvellec	Roscoat	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
7	3	48.63302	 -3.543	Lanvellec	Roscoat	09/03/2021	2021	3	9	Nicolas Boudereaux	1	Séche et disloquée	NA	Très favorable	NA	1	0	0	1
8	3	48.64132	-3.55326	Plouzélambre	Roscoat	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
9	4	48.4682	 -3.53988	Plouzélambre	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	1	NA	NA	Favorable	NA	1	NA	NA	NA
12	3	48.674833	 -3.572990	St Michel en Grève	Roscoat	09/03/2021	2021	3	9	Nicolas Boudereaux	1	Séche et disloquée	NA	Favorable	NA	1	0	0	1
14	3	48.67091	 -3.57926	Plestin les grèves	Yar	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Très favorable	NA	0	0	0	0
16	2	48.65719	 -3.57631	Tréduder	Yar	23/03/2021	2021	3	23	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
19	2	48.64695	 -3.57763	Plestin les grèves	Yar	23/03/2021	2021	3	23	David Menanteau	1	Sèche et disloquée	NA	Favorable	NA	1	0	0	1
20	2	48.64267	 -3.58159	Plestin les grèves	Yar	23/03/2021	2021	3	23	David Menanteau	1	Sèche et disloquée	NA	Favorable	NA	1	0	0	1
21	2	48.63795	 -3.5832	Plestin les grèves	Yar	23/03/2021	2021	3	23	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
24	1	48.622,	 -3.603	Trémel	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
27	4	48.68482	 -3.56188	St Michel en Grève	Kerdu	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
29	4	48.67589	 -3.54265	St Michel en Grève	Kerdu	09/03/2021	2021	3	9	Nicolas Boudereaux	1	NA	NA	Favorable	NA	1	NA	NA	NA
30	4	48.67459	 -3.53511	Ploumilliau	Kerdu	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
31	4	48.67299	 -3.53261	Ploumilliau	Kerdu	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
36	4	48.663573	 -3.517329	Ploumilliau	Kerdu	09/03/2021	2021	3	9	Nicolas Boudereaux	1	NA	NA	Très favorable	NA	1	NA	NA	NA
